Fix;Lat;Long
RURSU;008.14.27.000S;121.56.05.000E
SABUD;010.29.38.000S;121.50.46.000E
SADLU;008.16.30.000S;123.00.00.000E
SALES;008.35.55.000S;120.29.47.000E
SAPEH;008.34.24.000S;119.01.16.000E
SASAX;008.27.21.000S;117.29.20.000E
SATAR;008.49.12.000S;120.28.42.000E
SATNA;011.04.12.000S;124.34.12.000E
SEBAY;008.31.00.000S;119.42.50.000E
SEKON;008.59.40.000S;116.44.42.000E
SESAR;008.23.46.000S;119.51.19.000E
SIKKA;008.43.21.000S;122.03.47.000E
SIPUT;006.17.00.000S;112.35.00.000E
SOABA;008.42.31.000S;121.03.26.000E
SOLOR;008.13.43.940S;122.43.23.080E
SOTRA;010.00.36.000S;120.00.00.000E
SOVKA;007.40.45.000S;115.26.39.000E
SPIKO;004.52.36.000S;110.25.24.000E
SPRIG;010.18.06.000S;125.34.30.000E
SRITI;009.44.17.000S;116.49.38.000E
SRONO;008.26.34.000S;114.24.04.500E
SUGIK;002.03.27.000S;111.05.51.000E
SULAR;007.23.41.000S;118.43.35.000E
SUMBA;008.08.26.000S;114.37.03.000E
SUMDI;004.37.02.000S;111.13.47.000E
SUSIL;006.34.06.000S;115.10.27.000E
TANUR;002.14.30.000S;110.57.35.000E
TANJU;008.12.50.820S;116.03.25.930E
TARUN;012.00.00.000S;116.55.04.000E
TAVIP;003.57.52.000S;110.23.00.000E
TEPOS;008.01.39.000S;117.03.51.000E
TOGEM;008.34.01.000S;119.23.26.000E
TOKEK;008.38.31.000S;116.46.54.000E
TOKUL;008.56.15.000S;115.49.18.000E
TOROL;008.51.02.000S;120.16.39.000E
TSARA;008.20.40.000S;117.09.21.000E
UDANG;007.44.36.000S;114.06.42.000E
UDONO;007.00.16.000S;113.53.28.000E
VANTA;008.14.45.000S;124.13.07.000E
WAERA;008.45.30.000S;120.07.45.000E
WAEWA;008.42.43.000S;120.51.32.000E
WAFIS;008.40.37.000S;120.52.53.000E
WAITE;008.36.37.000S;122.28.23.000E
WARUP;008.55.31.000S;120.55.28.000E
WATUR;008.49.14.000S;120.12.11.000E
WAWAN;006.15.58.000S;111.48.56.000E
WOUTU;008.48.16.000S;121.22.15.000E
WULAN;008.33.42.000S;119.59.55.000E
XAVER;008.38.15.000S;122.14.13.000E
AFIKA;004.10.20.300S;118.33.37.400E
AFITA;005.08.13.200S;119.03.55.100E
AINDI;005.24.45.700S;119.31.08.000E
ALEAS;005.23.02.000S;119.35.42.700E
ALVIA;005.10.55.200S;120.02.39.500E
APUGO;005.19.07.700S;120.37.23.500E
APULA;004.58.44.000S;119.07.04.000E
APURA;005.25.08.800S;119.46.27.800E
AQIBA;005.21.34.900S;120.17.36.900E
ARAJA;004.43.24.800S;119.37.50.100E
ARAUF;005.58.59.900S;118.09.12.900E
ARAYA;004.19.36.100S;118.39.44.600E
AULIA;004.57.29.500S;119.33.31.300E
AYAMA;005.13.49.100S;120.11.23.300E
AYONO;005.25.36.800S;118.45.10.800E
COPAK;004.46.44.880S;119.35.27.360E
DAKAD;004.40.39.000S;119.13.04.000E
DITIA;005.17.57.500S;120.02.17.200E
DUKUG;005.08.13.000S;118.49.15.000E
DUMUD;003.53.43.000S;118.24.45.000E
EGESA;004.11.51.000S;118.54.33.000E
EMYRE;005.17.42.000S;118.54.32.700E
ERAFI;004.26.06.700S;118.32.02.000E
EROEL;005.11.22.600S;119.48.32.400E
FRINA;004.53.42.000S;117.02.56.400E
IBAHI;004.54.47.900S;119.57.50.700E
IDILA;006.14.03.100S;121.12.42.800E
IMADE;005.32.55.000S;120.26.42.700E
JIWIT;005.58.33.200S;120.54.13.700E
KABIB;004.54.00.600S;119.39.17.200E
KAILI;004.39.41.700S;119.33.07.900E
LAMUM;004.52.23.000S;120.15.29.000E
LUHAK;004.56.15.700S;118.44.35.500E
LULSU;005.14.35.000S;118.21.32.000E
MARYA;005.06.30.600S;118.54.32.700E
NAZUL;005.23.50.300S;118.05.38.400E
OLVAS;005.17.34.600S;119.25.42.000E
OPENG;004.46.22.430S;119.37.16.270E
PEKBO;005.33.48.000S;118.07.13.000E
PONGE;005.08.13.200S;117.51.45.000E
REAGA;004.57.45.300S;119.58.29.600E
SAFRU;005.10.14.900S;120.23.27.900E
TANTI;004.49.08.700S;119.31.53.700E
TUGIO;004.36.11.500S;116.40.01.600E
UBRAK;004.45.25.000S;118.54.33.000E
UMARA;004.24.03.600S;118.23.45.200E
UMAYA;005.39.25.500S;118.30.18.000E
UYOSO;004.38.52.500S;119.43.54.600E
WAIDI;004.39.14.000S;118.43.33.600E
WARNA;004.47.03.500S;119.45.21.600E
WICAK;004.31.56.600S;118.45.09.700E
SARIR;008.11.58.200S;118.40.42.200E
AKNUN;007.23.17.000S;115.07.26.000E
AKTOX;008.26.47.000S;115.57.58.000E
ARUDU;008.37.05.000S;115.45.20.000E
ASEDO;007.37.17.000S;115.14.24.000E
BANDE;008.18.37.000S;116.19.27.000E
BANGO;008.27.28.000S;115.17.17.000E
BAWAL;008.44.04.000S;115.30.35.000E
BENOA;008.44.21.000S;115.23.54.000E
BINOS;008.21.11.000S;114.54.56.000E
BIPEN;008.09.58.000S;116.08.20.000E
BIPOK;008.28.03.000S;114.59.09.000E
BISOB;008.38.28.000S;114.05.10.000E
BISON;007.45.24.640S;115.38.05.180E
BL102;008.44.32.230S;115.20.05.160E
BL113;008.45.13.220S;114.58.23.290E
BOKEX;007.58.36.000S;115.39.17.000E
BOSKU;008.33.35.000S;116.39.54.000E
BUAYA;007.33.42.000S;115.37.47.000E
BULMO;008.46.50.000S;114.25.05.000E
BUSTI;008.46.20.000S;116.17.39.000E
DD403;008.45.18.600S;114.59.36.900E
DD404;008.45.08.700S;115.03.51.200E
DD602;008.44.29.300S;115.20.08.800E
DD603;008.44.39.600S;115.15.54.500E
DD604;008.52.17.000S;115.09.45.600E
DORBO;009.32.34.000S;115.29.48.000E
DOVET;008.22.59.000S;114.24.59.000E
DUDAS;008.14.42.000S;114.32.16.000E
DUMIS;008.51.54.000S;115.10.41.000E
ELSAD;008.44.47.000S;115.17.49.000E
GAPIH;010.02.22.000S;115.48.38.000E
GERAF;007.51.16.000S;115.45.18.000E
GUNEM;008.54.43.000S;115.30.26.000E
GUROL;009.24.55.000S;116.13.19.000E
IGIKO;008.45.36.000S;114.43.44.000E
IKOTA;009.52.55.000S;115.03.34.000E
IPNAL;008.12.10.000S;114.09.49.000E
IRPOL;008.01.55.000S;115.19.19.000E
ISKAL;007.57.10.000S;116.34.36.000E
JARAN;008.28.22.340S;116.12.01.870E
KADKO;008.33.13.000S;116.06.55.000E
KAMIM;008.34.03.000S;114.49.01.000E
KAPVA;008.57.23.000S;115.35.25.000E
KAREO;008.33.06.000S;114.44.06.000E
KEPIK;008.18.34.000S;115.50.39.000E
KEWAN;007.49.47.000S;116.16.48.000E
KHUTA;008.45.16.800S;114.54.39.100E
KILUS;009.06.30.000S;115.07.38.000E
KOALA;009.23.58.000S;115.24.53.000E
KOBRA;009.23.24.000S;114.56.47.000E
LAKAB;008.58.20.000S;115.14.55.000E
LAMBU;008.38.25.700S;114.05.08.990E
LATAT;008.58.26.000S;116.05.29.000E
