Fix;Lat;Long
BW403;005.43.30.000S;112.48.13.800E
BW404;005.43.27.600S;112.45.01.200E
GIVIG;005.43.31.800S;112.51.14.400E
ONIRU;005.43.17.600S;112.30.03.600E
ANKOT;008.34.38.600S;121.18.06.400E
LASUT;008.46.06.000S;121.26.35.900E
OLVER;008.49.52.500S;121.25.12.700E
TB409;008.47.04.600S;121.16.55.300E
TB410;008.45.26.300S;121.12.08.900E
TB412;008.41.01.900S;121.08.39.800E
TB414;008.42.12.700S;121.20.11.500E
ATPAS;008.18.17.900S;122.19.03.100E
RUTVA;008.42.06.400S;122.36.03.300E
SUSKA;008.23.49.000S;122.03.14.000E
TC601;008.30.19.700S;122.32.04.500E
TC602;008.26.26.800S;122.28.52.400E
TC603;008.30.31.700S;122.23.52.900E
TC604;008.31.55.800S;122.22.10.000E
TC605;008.37.01.600S;122.15.56.000E
LIPDA;009.05.33.300S;121.51.26.600E
MENAG;008.58.44.200S;121.54.14.200E
NOPAB;008.58.33.700S;121.34.11.700E
TE601;008.57.16.500S;121.51.35.100E
TE602;008.55.25.400S;121.48.13.800E
TE603;008.52.12.400S;121.42.24.000E
TE824;008.58.33.680S;121.34.11.710E
TE828;008.58.44.170S;121.54.14.190E
TENUN;008.50.36.900S;121.36.42.700E
IDMUS;009.21.59.500S;118.58.54.500E
KELLO;009.21.59.500S;118.58.54.500E
TK401;009.22.43.300S;119.03.24.700E
TK402;009.23.32.300S;119.08.24.200E
TK403;009.24.10.900S;119.12.19.900E
ATINO;008.25.33.000S;120.07.54.000E
ENPUL;008.16.01.000S;120.02.48.000E
KANRI;008.24.28.000S;120.23.13.000E
MD401;008.17.46.900S;119.51.50.000E
MD402;008.22.45.700S;119.52.29.900E
MD403;008.26.20.600S;119.52.58.600E
MOSVA;008.13.18.900S;119.53.05.200E
NINIG;008.11.58.000S;119.48.14.000E
OMODO;008.22.29.000S;119.44.47.100E
RINCA;008.25.37.000S;119.38.32.000E
SBOLO;008.22.01.000S;119.45.02.000E
SIDAS;008.22.35.000S;120.01.58.000E
SRAYA;008.25.50.000S;119.53.20.000E
BUKVI;010.35.32.800S;123.13.36.000E
DAKON;010.50.36.700S;122.53.48.200E
KONSA;010.35.32.800S;123.13.36.000E
TR401;010.53.53.300S;122.57.39.300E
TR402;010.50.04.900S;123.00.58.100E
TR411;010.53.53.300S;122.57.39.300E
TR412;010.50.04.900S;123.00.58.100E
TR601;010.38.35.700S;123.10.57.200E
TR602;010.41.38.600S;123.08.18.300E
AKARO;008.17.34.000S;124.23.42.000E
ALBOT;010.16.15.000S;123.51.46.000E
ANIVU;009.59.51.000S;123.53.08.000E
ANPIK;009.21.09.000S;124.30.17.000E
ASAKA;008.21.15.000S;124.07.44.000E
AVMIN;008.19.00.000S;123.57.52.000E
BIRIS;009.37.48.000S;123.23.11.000E
BUPSA;010.07.40.000S;123.49.13.000E
DUKOL;010.03.05.000S;124.21.45.000E
DULIS;010.22.32.000S;123.41.18.000E
EKIMI;010.06.43.000S;123.23.02.000E
ENLOG;009.19.51.000S;123.42.31.000E
ESBOV;010.06.51.500S;123.54.49.400E
ESGUS;009.54.09.000S;123.44.21.000E
EXURA;009.50.54.000S;123.58.34.000E
GUKSI;010.16.58.000S;123.57.09.000E
GUNIL;008.08.39.000S;124.00.28.000E
GUNUK;010.14.41.000S;123.17.24.000E
GURTU;010.14.37.000S;124.45.56.000E
GUTIG;009.14.06.000S;122.29.11.000E
GUVAM;009.28.58.000S;122.41.51.000E
GUVBI;008.12.12.000S;124.35.09.000E
IBOVA;010.24.57.000S;123.17.59.000E
IGEMI;009.18.33.000S;122.39.22.000E
IGIKA;010.15.59.000S;124.17.42.000E
ISLAT;010.01.00.000S;124.19.22.000E
ISPOM;010.28.08.000S;124.36.44.000E
LAXAM;009.54.31.000S;123.55.35.000E
LEMOX;010.35.43.000S;123.29.12.000E
LIGSO;009.56.06.000S;123.40.17.000E
MEKAS;009.57.10.000S;123.31.07.000E
MESIG;010.23.27.000S;123.58.38.000E
MIMOB;008.07.30.000S;124.28.36.000E
MUMEL;010.03.10.000S;123.38.06.000E
MOVKA;010.03.14.000S;124.09.59.000E
NUGNI;009.31.16.000S;124.02.15.000E
OLGOB;009.54.30.000S;122.54.37.000E
OPUSA;009.48.12.000S;122.35.30.000E
PABDA;009.53.21.000S;123.28.35.000E
PALRA;010.45.46.000S;122.49.35.000E
SADIX;010.17.44.000S;122.46.07.000E
SAGEP;010.20.07.000S;124.28.07.000E
SAVLI;010.19.14.000S;123.00.08.000E
SUBLI;009.54.31.000S;124.16.38.000E
SUKTA;010.30.57.000S;123.28.13.000E
SUNOM;010.30.06.000S;123.42.41.000E
TT421;010.12.51.300S;123.29.29.800E
TT422;010.11.41.200S;123.34.25.700E
TT601;010.07.44.300S;123.51.02.600E
TT602;010.08.54.700S;123.46.06.800E
TUVNA;009.45.35.000S;123.49.32.000E
UNSOS;010.22.49.000S;121.54.04.000E
VEDKA;010.20.28.000S;123.38.55.000E
VEMIT;009.08.16.000S;121.46.59.000E
VIDUN;010.13.57.400S;123.24.44.200E
EKELA;007.10.57.000S;112.14.02.000E
IGNAR;007.20.16.000S;112.12.53.000E
LUMSA;007.27.00.000S;112.13.57.000E
VAGMA;007.38.41.000S;112.14.29.000E
AMVIM;007.32.05.000S;112.14.46.000E
IPGAR;007.26.14.000S;112.17.15.000E
RIRTA;007.23.51.000S;112.07.56.000E
AKBOL;007.33.48.500S;111.58.48.600E
ISTAL;007.28.48.000S;112.10.42.000E
INTOB;007.49.31.000S;112.07.38.100E
UKDAD;007.37.25.000S;112.10.58.000E
RD401;007.34.24.300S;111.52.47.800E
RD402;007.37.36.900S;111.51.37.200E
RD403;007.40.29.500S;111.53.38.800E
RD601;007.51.38.900S;112.03.04.500E
RD602;007.49.01.600S;112.00.25.900E
RD603;007.46.29.700S;111.57.52.900E
